,x,y
0,-0.028753513,-6.907543
1,-21.284391,7.4099174
2,-5.822917,-10.521445
3,-5.917172,-10.069772
4,-3.4560895,-5.2808857
5,5.8082256,2.4672956
6,0.33222634,-3.7753577
7,5.0579104,2.2103312
8,2.938047,6.374409
9,-5.1605067,-7.4388986
10,5.815425,2.657174
11,-3.0236502,-3.928382
12,0.7799266,-2.8845608
13,-0.19959833,-3.9149323
14,0.34705567,-3.7540236
15,1.2377731,-1.6719168
16,5.375002,1.3899521
17,-19.556032,-2.9590364
18,-3.8063881,-4.499662
19,4.547908,-7.8036075
20,1.3998405,1.0720713
21,0.21929847,-3.8949175
22,-2.6322162,-4.427327
23,2.436025,-0.5130627
24,-17.119976,10.955882
25,-18.223265,8.3513155
26,-20.281685,11.69874
27,-20.536896,-9.647084
28,-20.376747,11.695632
29,-13.58888,-9.798596
30,-7.159436,-10.061706
31,-9.172235,-5.3129587
32,7.3086457,10.543175
33,-19.099741,-0.30698547
34,-20.234571,11.691193
35,-5.6365,7.220573
36,-10.85625,-3.936931
37,-18.940376,12.573209
38,13.481777,-9.745855
39,-15.097022,3.9918973
40,4.909328,-9.68402
41,-4.508742,-4.4324613
42,-23.488663,-1.8871281
43,-12.364404,-9.248996
44,-6.2671504,2.0543296
45,-15.118473,4.070755
46,0.9656566,-18.182896
47,0.98939973,-18.195036
48,13.493084,-4.367453
49,-0.19544506,-8.641398
50,13.598243,-5.2248683
51,-7.5247912,1.2046335
52,12.800614,-9.902035
53,10.507613,0.19602561
54,17.393225,5.156832
55,17.580952,4.998861
56,17.417864,4.6014237
57,17.682852,4.8280044
58,17.315908,4.5110993
59,1.4751045,-8.329876
60,16.890224,4.2484994
61,8.513461,1.5172498
62,8.898163,1.5190123
63,8.124517,1.4986783
64,8.44583,1.6286206
65,8.400071,1.4496611
66,8.362089,1.1860392
67,8.468511,1.5891839
68,6.5293875,1.4318393
69,8.650256,1.5394877
70,7.7325935,0.9095166
71,8.581627,1.618145
72,7.9648314,0.19754784
73,9.968602,0.8381439
74,8.640783,1.6365799
75,7.3207874,0.7017586
76,8.098325,1.6761305
77,9.345027,-0.0004897764
78,8.474729,1.6426902
79,8.4575205,1.651172
80,8.403526,2.1352074
81,11.985964,-3.495034
82,12.006093,-3.1884432
83,11.883694,-3.3282073
84,12.457041,-3.0757134
85,11.757892,-3.269769
